WeekEndingDay,StarKist,BumbleBee,Others
20151017,2040933.333,1122146.167,2220553.699
20151024,1595579.467,1225226.417,2014913.623
20151031,1560248.35,1229922.583,1918893.663
20151107,1523736.867,1299446.833,2094314.82
20151114,1567304.25,1387809.667,2054600.96
20151121,1546724.833,1266843.417,1928844.161
20151128,1094182.167,1036048.5,1395528.238
20151205,1319017.05,1282222.417,1725493.269
20151212,1389968.9,1365330.917,2055706.139
20151219,1269517.6,1167853.75,1994552.673
20151226,990005.65,959629.1667,1442313.41
20160102,1195610.483,1578141.167,1750120.019
20160109,2089899.783,1771702.667,2721211.434
20160116,1965806.917,2144928.667,2661060.569
20160123,2094718.083,1922996.017,2211189.968
20160130,1704315.317,1492939.8,2096388.437
20160206,1821783.583,1440213.983,2219960.254
20160213,3273550.733,1908266.683,2336147.615
20160220,3585341.867,1765831.033,2175987.693
20160227,2187607.9,1811295.967,2226761.792
20160305,2084211.8,1936019.283,2455279.076
20160312,2563608.467,1567395.517,2237111.6
20160319,1869193.117,1409664.333,2330738.846
20160326,1644625.51,1292710.25,1988086.013
20160402,1810793.583,1202056.45,1840466.437
20160409,2282238.037,1397496.3,2368933.518
20160416,1835241.433,1265790.883,2376556.887
20160423,1603595.1,1184551.217,2276986.432
20160430,1573406.817,1272724.95,2126458.029
20160507,1811128.633,1599750.267,2165164.119
20160514,1841403.433,1652323.333,1988577.292
20160521,1698900.433,1630341.4,2159083.476
20160528,1707004.017,1451207.5,2176885.905
20160604,1664141.617,1478501.467,2247658.704
20160611,2185088.767,1347351.983,2451184.019
20160618,1953358.933,1349791.383,2340532.442
20160625,1729533.95,1357003.35,2296373.191
20160702,1656318.717,1572921.867,2335689.886
20160709,1751047.2,1286686.017,2227040.351
20160716,2014126.083,1263818.2,2280451.836
20160723,1747029.367,1637399.75,2164324.017
20160730,1550052.95,1539891.55,2350813.616
20160806,1722991.9,1434316.083,2612939.582
20160813,2026873.833,1454566.883,2573236.326
20160820,1937219.983,1778158.017,2543650.9
20160827,2107615.917,1236080.383,2299758.322
20160903,1722602.983,1936879.767,2120697.868
20160910,1621976.917,1836928.133,2130888.467
20160917,1698401.517,1486854.433,2160176.669
20160924,1536011.517,1379761.8,2079282.524
20161001,1451461.717,1470920.5,1986371.928
20161008,1774998.033,1451964,2228696.146
20161015,1699717.667,1242494.167,2341320.659
20161022,1592390.583,808460.1,1880493.671
20161029,1473622.183,1124995.617,2012150.785
20161105,1564034.35,1071601.75,2100803.618
20161112,1644643.633,1293314.6,1973417.689
20161119,1440716.833,1224152.233,1905125.034
20161126,1073110.433,940593.9667,1389135.388
20161203,1358142.8,1032955.067,1576229.769
20161210,1513340.033,1271934.767,2001401.878
20161217,1352356.5,1129664.967,1847056.474
20161224,1210832.517,928916.0833,1618861.487
20161231,1074798.867,899897.6,1337011.3
20170107,2413789.033,1261294.283,2089318.323
20170114,2368156.15,2391545.3,2355381.041
20170121,2039778.283,1850884.85,2074501.77
20170128,1761950.75,1335500,1952335.488
20170204,1737432.917,1435519.017,2055126.832
