,game_id,threes,ref_crew,arena,fouls,score_dif,play_length,date,opponent,team_score,opp_score,record,team,round1,round2,round3,round4,round5,round6,round7,gei,round,tot_score
71,400785452,38,Alfred Smith/Michael Stephens/Mike Eades,UD Arena,44,1.002785515,6.685236769,3/18/2015,Robert Morris,77,81,23-12 (12-2),North Florida,1,0,0,0,0,0,0,5.490350037,1,158
72,400785343,26,Michael Greenstein/Paul Szelc/Tim Comer,KFC Yum! Center,40,17.40934066,6.593406593,3/19/2015,Hampton,79,56,35-0 (18-0),Kentucky,0,1,0,0,0,0,0,1.377333321,2,135
73,400785438,17,Michael Irving/Ed Corbett/Bret Smith,PPG Paints Arena,25,4.520295203,8.856088561,3/19/2015,Northeastern,69,65,30-5 (14-4),Notre Dame,0,1,0,0,0,0,0,4.02431452,2,134
74,400785346,32,Rick Crawford/Chris Rastatter/Brian  O'Connell,PPG Paints Arena,35,3.361290323,7.741935484,3/19/2015,Texas,56,48,23-10 (12-6),Butler,0,1,0,0,0,0,0,3.525519108,2,104
75,400785435,36,Mike Stuart/Gerry Pollard/Earl Walton,KFC Yum! Center,34,-0.991803279,7.37704918,3/19/2015,Purdue,66,65,23-10 (13-5),Cincinnati,0,1,0,0,0,0,0,7.388085941,2,131
76,400785457,23,Terry Moore/Lamar Simpson/Rodrick Dixon,Moda Center,42,17.55417957,7.430340557,3/19/2015,Texas Southern,93,72,32-3 (16-2),Arizona,0,1,0,0,0,0,0,1.526794257,2,165
77,400785450,35,A.J. Desai/Gary Prager/Jamie Luckie,Veterans Memorial Arena,26,4.210714286,8.571428571,3/19/2015,Georgia State,56,57,24-10 (11-7),Baylor,0,1,0,0,0,0,0,4.454387601,2,113
78,400785456,20,Don Daily/Lee Cassell/Mike Sanzere,Veterans Memorial Arena,34,7.937931034,8.275862069,3/19/2015,Harvard,67,65,25-11 (11-7),UNC,0,1,0,0,0,0,0,4.731618901,2,132
79,400785448,32,Mike Roberts/Chris Beaver/Jose Carrion,Veterans Memorial Arena,31,-0.349152542,8.13559322,3/19/2015,Wofford,56,53,27-8 (13-5),Arkansas,0,1,0,0,0,0,0,5.332389775,2,109
80,400785458,50,Bill Ek/Bert Smith/David Hall,Veterans Memorial Arena,35,11.44940476,7.142857143,3/19/2015,Ole Miss,76,57,22-13 (9-9),Xavier,0,1,0,0,0,0,0,2.087959834,2,133
81,400785449,41,Kevin Brill/Mike Reed/Tony Henderson,Moda Center,34,2.527696793,7.871720117,3/19/2015,Ohio State,72,75,26-10 (12-6),VCU,0,1,0,0,0,0,0,6.993226331,2,147
82,400785347,40,Anthony Jordan/Byron Jarrett/Pat Adams,PPG Paints Arena,21,25.48540146,8.759124088,3/19/2015,Lafayette,93,52,33-2 (16-2),Villanova,0,1,0,0,0,0,0,1.371591333,2,145
83,400785439,39,Dwayne Gladden/Darron George/Joe DeRosa,PPG Paints Arena,25,-5.518867925,7.547169811,3/19/2015,NC State,65,66,22-11 (11-7),LSU,0,1,0,0,0,0,0,4.385421933,2,131
84,400785446,41,John Gaffney/Brett Nansel/Ray Natili,KFC Yum! Center,25,1.078488372,6.976744186,3/19/2015,UAB,59,60,25-9 (12-6),Iowa State,0,1,0,0,0,0,0,6.790010969,2,119
85,400785352,51,Verne Harris/D.J. Carstensen/Eric Curry,Moda Center,39,8.432515337,7.36196319,3/19/2015,Eastern Washington,84,74,22-10 (12-6),Georgetown,0,1,0,0,0,0,0,2.58149009,2,158
86,400785444,39,Mark Schnur/Jerry Heater/Roger Ayers,Moda Center,30,5.600694444,8.333333333,3/19/2015,Stephen F. Austin,57,50,25-8 (13-5),Utah,0,1,0,0,0,0,0,3.542527437,2,107
87,400785454,36,Sean Hull/Larry Spaulding/Antinio Petty,KFC Yum! Center,31,-2.28525641,7.692307692,3/19/2015,UCLA,59,60,27-7 (15-3),SMU,0,1,0,0,0,0,0,4.943489287,2,119
88,400785345,28,Deron White/Tony Padilla/Gregory Nixon,CHI Health Center Omaha,32,12.68646865,7.920792079,3/20/2015,New Mexico State,75,56,27-8 (13-5),Kansas,0,1,0,0,0,0,0,1.909335038,2,131
89,400785344,48,Tom Nunez/Brian Dorsey/Vladimir Voyard-Tadal,Nationwide Arena,38,2.849673203,7.843137255,3/20/2015,Valparaiso,65,62,28-6 (14-4),Maryland,0,1,0,0,0,0,0,5.626512622,2,127
90,400785436,32,,Nationwide Arena,49,7.386503067,7.36196319,3/20/2015,Buffalo,68,62,24-9 (11-7),West Virginia,0,1,0,0,0,0,0,4.309529387,2,130
91,400785437,35,Doug Shows/Jeb Hartness/Kipp Kissinger,CHI Health Center Omaha,43,-0.461111111,6.666666667,3/20/2015,Indiana,81,76,29-4 (17-1),Wichita State,0,1,0,0,0,0,0,6.347812031,2,157
92,400785455,39,William Covington/Clarence Armstrong/John Higgins,CHI Health Center Omaha,25,11.85869565,8.695652174,3/20/2015,Coastal Carolina,86,72,32-3 (16-2),Wisconsin,0,1,0,0,0,0,0,2.386945209,2,158
93,400785447,48,Tim Nestor/Pat Driscoll/Bill McCarthy,CHI Health Center Omaha,29,1.239344262,7.868852459,3/20/2015,Oklahoma State,79,73,26-9 (13-5),Oregon,0,1,0,0,0,0,0,5.38077136,2,152
94,400785349,42,Gene Steratore/Keith Kimble/Mark Whitehead,Spectrum Center,32,5.824324324,8.108108108,3/20/2015,Belmont,79,67,30-3 (16-2),UVA,0,1,0,0,0,0,0,4.02771846,2,146
95,400785442,49,Jeff Clark/Terry Wymer/Tony Chiazza,Nationwide Arena,30,6.546052632,7.894736842,3/20/2015,Albany,69,60,23-10 (12-6),Oklahoma,0,1,0,0,0,0,0,3.350727844,2,129
96,400785348,29,Randy  McCall/Dick Cartmell/Robert Riley,KeyArena,21,0.430278884,9.561752988,3/20/2015,UC Irvine,57,55,25-8 (12-6),Louisville,0,1,0,0,0,0,0,5.611730877,2,112
97,400785440,40,Tim Gattis/Brent Hampton/Mike Eades,KeyArena,31,11.55018587,8.921933086,3/20/2015,Wyoming,71,54,31-3 (16-2),Northern Iowa,0,1,0,0,0,0,0,2.109206456,2,125
98,400785350,49,Tom Eades/Terry Oglesby/Mike Nance,Nationwide Arena,35,-4.496875,7.5,3/20/2015,Dayton,53,66,22-12 (11-7),Providence,0,1,0,0,0,0,0,3.300220552,2,119
99,400785441,32,Joe Lindsay/Donnie Eppley/Michael Stephens,Spectrum Center,41,4.657894737,7.01754386,3/20/2015,Georgia,70,63,24-11 (12-6),Michigan State,0,1,0,0,0,0,0,3.215977313,2,133
100,400785351,40,Larry Scirotto/James Breeding/Steve Olson,Spectrum Center,25,15.63793103,8.275862069,3/20/2015,Robert Morris,85,56,30-4 (15-3),Duke,0,1,0,0,0,0,0,1.65418677,2,141
101,400785353,43,Tim Clougherty/Olandis Poole/Jeff Anderson,KeyArena,35,8.716612378,7.817589577,3/20/2015,North Dakota State,86,76,33-2 (17-1),Gonzaga,0,1,0,0,0,0,0,3.043156184,2,162
102,400785445,44,Bob Staffen/Mike Scyphers/Doug Sirmons,KeyArena,26,10.82450331,7.947019868,3/20/2015,Davidson,83,52,22-11 (12-6),Iowa,0,1,0,0,0,0,0,2.464957948,2,135
103,400785443,39,Bryan Kersey/Lamont Simpson/Tom O'Neill,Spectrum Center,33,6.916666667,7.407407407,3/20/2015,St. John's,76,64,27-8 (14-4),San Diego State,0,1,0,0,0,0,0,3.140064026,2,140
104,400786203,29,Antonio Petty/Michael Greenstein/Ray Natilli,KFC Yum! Center,37,5.855113636,6.818181818,3/21/2015,Cincinnati,64,51,36-0 (18-0),Kentucky,0,0,1,0,0,0,0,2.891054604,3,115
105,400786182,33,Brian  O'Connell/Pat Adams/Joe DeRosa,PPG Paints Arena,31,1.908284024,7.98816568,3/21/2015,Butler,67,64,31-5 (14-4),Notre Dame,0,0,1,0,0,0,0,6.105588241,3,131
106,400786186,36,D.J. Carstensen/Mike Reed/Roger Ayers,Moda Center,30,4.75,7.407407407,3/21/2015,Ohio State,73,58,33-3 (16-2),Arizona,0,0,1,0,0,0,0,3.125812182,3,131
107,400786202,35,Mike Roberts/Bert Smith/David Hall,Veterans Memorial Arena,48,2.57804878,5.853658537,3/21/2015,Arkansas,87,78,26-11 (11-7),UNC,0,0,1,0,0,0,0,5.116660938,3,165
108,400786184,27,Lee Cassell/Don Daily/Jamie Luckie,Veterans Memorial Arena,39,5.441767068,9.638554217,3/21/2015,Georgia State,75,67,23-13 (9-9),Xavier,0,0,1,0,0,0,0,3.863619009,3,142
109,400786221,39,Michael Irving/Ed Corbett/Chris Rastatter,PPG Paints Arena,43,-4.044247788,7.079646018,3/21/2015,NC State,68,71,33-3 (16-2),Villanova,0,0,1,0,0,0,0,4.878553525,3,139
110,400786206,39,Lamar Simpson/Verne Harris/Jerry Heater,Moda Center,38,-0.960714286,8.571428571,3/21/2015,Utah,64,75,22-11 (12-6),Georgetown,0,0,1,0,0,0,0,4.608571114,3,139
111,400786183,35,Mike Stuart/Gerry Pollard/John Gaffney,KFC Yum! Center,37,6.935185185,7.407407407,3/21/2015,UAB,92,75,22-13 (11-7),UCLA,0,0,1,0,0,0,0,3.810705467,3,167
112,400786304,41,John Higgins/Kipp Kissinger/Gregory Nixon,CHI Health Center Omaha,43,-4.353982301,7.079646018,3/22/2015,Wichita State,65,78,27-9 (13-5),Kansas,0,0,1,0,0,0,0,3.148205492,3,143
113,400786307,38,Terry Wymer/Tom Eades/Terry Oglesby,Nationwide Arena,39,-2.498442368,7.476635514,3/22/2015,West Virginia,59,69,28-7 (14-4),Maryland,0,0,1,0,0,0,0,3.957387936,3,128
114,400786326,42,Pat Driscoll/Doug Shows/Tony Padilla,CHI Health Center Omaha,33,5.506756757,8.108108108,3/22/2015,Oregon,72,65,33-3 (16-2),Wisconsin,0,0,1,0,0,0,0,4.252165302,3,137
115,400786305,29,Bryan Kersey/Joe Lindsay/Mark Whitehead,NA,37,-6.574534161,7.453416149,3/22/2015,Michigan State,54,60,30-4 (16-2),UVA,0,0,1,0,0,0,0,3.23024404,3,114
116,400786333,39,Jeff Clark/Ron Groover/Brian Dorsey,Nationwide Arena,35,2.824104235,7.817589577,3/22/2015,Dayton,72,66,24-10 (12-6),Oklahoma,0,0,1,0,0,0,0,4.281775808,3,138
117,400786306,30,Mike Scyphers/Doug Sirmons/Jeff Anderson,KeyArena,36,6.51119403,8.955223881,3/22/2015,Northern Iowa,66,53,26-8 (12-6),Louisville,0,0,1,0,0,0,0,2.928677295,3,119
118,400786330,27,James Breeding/Keith Kimble/Michael Stephens,Spectrum Center,20,12.4,8.727272727,3/22/2015,San Diego State,68,49,31-4 (15-3),Duke,0,0,1,0,0,0,0,1.843156515,3,117
119,400786332,31,Randy  McCall/Tim Clougherty/Mike Eades,KeyArena,28,12.34027778,8.333333333,3/22/2015,Iowa,87,68,34-2 (17-1),Gonzaga,0,0,1,0,0,0,0,2.212817504,3,155
120,400786514,30,Bryan Kersey/Jeff Clark/John Gaffney,Rocket Mortgage FieldHouse,50,24.77363897,6.876790831,3/26/2015,West Virginia,78,39,37-0 (18-0),Kentucky,0,0,0,1,0,0,0,0.906074505,4,117
121,400786505,37,Terry Wymer/Michael Irving/Michael Greenstein,Rocket Mortgage FieldHouse,30,8.594771242,7.843137255,3/26/2015,Wichita State,81,70,32-5 (14-4),Notre Dame,0,0,0,1,0,0,0,3.596748681,4,151
