Brand,time_period,qua,nat,compnat
A1,2009-11-30,0.675139220037046,5667754,23726468
A1,2009-12-07,0.7010309076879,3231825,10107673
A1,2009-12-14,0.615053374145059,3058163,8562253
A1,2009-12-21,0.680187194587063,1365373,5880735
A1,2009-12-28,0.722434855982491,1715999,12879070
A1,2010-01-04,0.685986728684124,1520450,687850
A1,2010-01-11,0.700823994754303,516895,3569316
A1,2010-01-18,0.694544940994779,1855351,3955684
A1,2010-01-25,0.715758588916222,1543462,2282356
A1,2010-02-01,0.676251092686479,1707699,5395514
A1,2010-02-08,0.663386634654301,1379453,2784301
A1,2010-02-15,0.636950641595995,539770,2003227
A1,2010-02-22,0.632382830303537,891637,1948526
A1,2010-03-01,0.680969525271233,2770067,10517995
A1,2010-03-08,0.642662823443903,1021956,4611300
A1,2010-03-15,0.631463058218564,2840763,2222209
A1,2010-03-22,0.582691873739508,2803794,13752914
A1,2010-03-29,0.689741927519297,1808574,12241350
A1,2010-04-05,0.663369139296744,1506944,8212039
A1,2010-04-12,0.673738114437379,830808,4816597
A1,2010-04-19,0.655781121194372,526251,5021339
A1,2010-04-26,0.639186579162881,4195755,14567072
A1,2010-05-03,0.680980807222561,4635152,9387752
A1,2010-05-10,0.658087724451312,3004096,7550177
A1,2010-05-17,0.610892203723223,4195483,11143538
A1,2010-05-24,0.757695398274866,3511917,13956963
A1,2010-05-31,0.665355089957041,6289941,16454632
A1,2010-06-07,0.674653596418011,1208966,6084297
A1,2010-06-14,0.673654709472218,3733719,7708988
A1,2010-06-21,0.701440275314823,2666154,3719132
A1,2010-06-28,0.615543720578453,5393096,16616960
A1,2010-07-05,0.698258201404574,4100972,3198744
A1,2010-07-12,0.702250229238196,2494048,10707694
A1,2010-07-19,0.656470778534325,2068814,6768291
A1,2010-07-26,0.659020756586448,4957064,19864585
A1,2010-08-02,0.72122617646453,1526799,8363216
A1,2010-08-09,0.724669556827498,2457987,9454581
A1,2010-08-16,0.621358118895869,2542792,3418591
A1,2010-08-23,0.645448651653785,3612297,6279094
A1,2010-08-30,0.674154459417222,1780913,24017299
A1,2010-09-06,0.690534253594972,2450200,12606227
A1,2010-09-13,0.606633663650336,3732924,11006508
A1,2010-09-20,0.65285089958363,4664522,8725148
A1,2010-09-27,0.676146626598602,3737999,17326006
A1,2010-10-04,0.600321313309003,3637210,5955374
A1,2010-10-11,0.597539355706961,2853615,9768680
A1,2010-10-18,0.727257317966465,3901483,8147320
A1,2010-10-25,0.600171712508053,4682908,7326876
A1,2010-11-01,0.661132849490588,5171906,17296243
A1,2010-11-08,0.69335436928846494,3291168,5936966
A1,2010-11-15,0.696233700700712,4800769,4609297
A1,2010-11-22,0.742720974536981,7532788,12118600
A1,2010-11-29,0.689997460809013,7540595,37096217
A1,2010-12-06,0.635897612159577,5272556,15800383
A1,2010-12-13,0.644005224269424,4509893,12841519
A1,2010-12-20,0.676501751882005,3794468,14216404
A1,2010-12-27,0.669032076880277,3167386,17966566
A1,2011-01-03,0.645535407450378,2969218,3077242
A1,2011-01-10,0.663297628458323,6132960,4075155
A1,2011-01-17,0.667565121785988,3954032,6568980
A1,2011-01-24,0.678240553822999,1793932,5888000
A1,2011-01-31,0.566163873052163,1909585,10839277
A1,2011-02-07,0.707402441019495,518654,5787570
A1,2011-02-14,0.732267787657102,1840283,2612605
A1,2011-02-21,0.680795897450876,1899965,3305636
A1,2011-02-28,0.640522193994954,3370715,9645182
A1,2011-03-07,0.613134105316838,2041969,3974074
A1,2011-03-14,0.652500986327304,2273745,6117443
A1,2011-03-21,0.671721326910928,2365958,10056054
A1,2011-03-28,0.570884127106516,2151731,10252827
A1,2011-04-04,0.613685237237557,347439,9667769
A1,2011-04-11,0.56243446524847,1016184,4995423
A1,2011-04-18,0.650215954060514,2133776,5733914
A1,2011-04-25,0.633216020080406,2112061,13787612
A1,2011-05-02,0.690286591377527,1798230,6906876
A1,2011-05-09,0.693862161870928,1015391,7733154
A1,2011-05-16,0.640607389459333,1230985,11064513
A1,2011-05-23,0.61383654447021,238223,12643692
A1,2011-05-30,0.560825802468442,2059062,15764376
A1,2011-06-06,0.672703363630638,1453107,8275298
A1,2011-06-13,0.567603185338626,794634,8402192
A1,2011-06-20,0.55877426651035,530542,8332089
A1,2011-06-27,0.613834823592404,1222517,22010896
A1,2011-07-04,0.694933363935171,320933,5906229
A1,2011-07-11,0.671834948353051,2345086,4456497
A1,2011-07-18,0.651659818564501,2594790,5863212
A1,2011-07-25,0.690137792203749,3855138,8198869
A1,2011-08-01,0.657519041924021,4680324,20090245
A1,2011-08-08,0.632042308144737,4886126,8318658
A1,2011-08-15,0.606738522173571,748130,2625889
A1,2011-08-22,0.619786447721922,614947,8268579
A1,2011-08-29,0.658138920470455,1276653,21728553
A1,2011-09-05,0.630441420681553,2430774,15682862
A1,2011-09-12,0.615312205337323,1272371,16676650
