MondayOfWeek,Brand,Qty,Price
2006-07-24,C,13,8.37461538461539
2006-07-31,A,48,17.0629166666667
2006-07-31,B,43,16.99
2006-07-31,C,11,7.80818181818182
2006-08-07,A,31,18.3125806451613
2006-08-07,B,45,16.0233333333333
2006-08-07,C,2,8.49
2006-08-14,A,65,16.5901538461538
2006-08-14,B,35,19.7757142857143
2006-08-14,C,13,8.68230769230769
2006-08-21,A,53,13.8956603773585
2006-08-21,B,41,22.5631707317073
2006-08-21,C,12,10.1566666666667
2006-08-28,A,48,17.9795833333333
2006-08-28,B,54,17.7862962962963
2006-08-28,C,11,11.0809090909091
2006-09-04,A,41,18.8070731707317
2006-09-04,B,49,19.1838775510204
2006-09-04,C,9,9.43444444444444
2006-09-11,A,53,16.3488679245283
2006-09-11,B,51,21.8821568627451
2006-09-11,C,9,11.1011111111111
2006-09-18,A,59,14.0247457627119
2006-09-18,B,54,21.49
2006-09-18,C,9,9.76777777777778
2006-09-25,A,49,16.7144897959184
2006-09-25,B,35,22.0614285714286
2006-09-25,C,4,8.49
2006-10-02,A,48,15.1358333333333
2006-10-02,B,42,18.7757142857143
2006-10-02,C,9,10.4344444444444
2006-10-09,A,51,16.2645098039216
2006-10-09,B,44,19.2740909090909
2006-10-09,C,13,7.22076923076923
2006-10-16,A,38,18.9242105263158
2006-10-16,B,37,19.6791891891892
2006-10-16,C,21,8.18047619047619
2006-10-23,A,47,16.9902127659574
2006-10-23,B,36,22.8372222222222
2006-10-23,C,20,7.44
2006-10-30,A,52,18.1632692307692
2006-10-30,B,44,19.3763636363636
2006-10-30,C,11,10.8081818181818
2006-11-06,A,48,19.4904166666667
2006-11-06,B,43,20.6179069767442
2006-11-06,C,13,10.3746153846154
2006-11-13,A,48,16.355
2006-11-13,B,39,22.1566666666667
2006-11-13,C,9,10.2122222222222
2006-11-20,A,52,15.8265384615385
2006-11-20,B,32,21.64625
2006-11-20,C,13,9.45153846153846
2006-11-27,A,56,18.535
2006-11-27,B,35,21.79
2006-11-27,C,5,9.59
2006-12-04,A,80,15.760625
2006-12-04,B,37,20.8008108108108
2006-12-04,C,12,6.99
2006-12-11,A,48,17.9102083333333
2006-12-11,B,35,20.9328571428571
2006-12-11,C,14,9.27571428571429
2006-12-18,A,36,19.2261111111111
2006-12-18,B,43,19.6993023255814
2006-12-18,C,6,9.82833333333333
2006-12-25,A,41,18.3424390243902
2006-12-25,B,31,21.1190322580645
2006-12-25,C,6,8.99166666666667
2007-01-01,A,44,19.5240909090909
2007-01-01,B,42,17.4304761904762
2007-01-01,C,13,8.99
2007-01-08,A,43,18.1376744186047
2007-01-08,B,33,18.9293939393939
2007-01-08,C,11,7.80818181818182
2007-01-15,A,42,16.012619047619
2007-01-15,B,45,20.5788888888889
2007-01-15,C,12,9.32333333333333
2007-01-22,A,43,16.3155813953488
2007-01-22,B,26,20.1438461538462
2007-01-22,C,8,8.99
2007-01-29,A,37,18.462972972973
2007-01-29,B,42,18.8352380952381
2007-01-29,C,13,9.14384615384615
2007-02-05,A,34,19.8870588235294
2007-02-05,B,46,19.0334782608696
2007-02-05,C,13,9.68230769230769
2007-02-12,A,47,15.0431914893617
2007-02-12,B,40,19.3575
2007-02-12,C,5,10.59
2007-02-19,A,46,15.9247826086957
2007-02-19,B,35,21.5614285714286
2007-02-19,C,9,8.32333333333333
2007-02-26,A,42,18.8354761904762
2007-02-26,B,49,17.7675510204082
2007-02-26,C,15,9.99
2007-03-05,A,38,17.7957894736842
2007-03-05,B,36,18.3686111111111
2007-03-05,C,10,10.39
2007-03-12,A,48,18.4222916666667
2007-03-12,B,31,19.9625806451613
2007-03-12,C,6,9.65666666666667
2007-03-19,A,52,16.2073076923077
2007-03-19,B,39,19.8976923076923
2007-03-19,C,13,9.14384615384615
2007-03-26,A,37,17.862972972973
2007-03-26,B,43,18.8155813953488
2007-03-26,C,10,9.89
2007-04-02,A,39,18.0284615384615
2007-04-02,B,34,19.2841176470588
2007-04-02,C,11,9.89909090909091
2007-04-09,A,53,15.7730188679245
2007-04-09,B,38,19.8873684210526
2007-04-09,C,6,8.49
2007-04-16,A,64,16.0340625
2007-04-16,B,20,20.92
2007-04-16,C,12,7.49
2007-04-23,A,43,15.9690697674419
2007-04-23,B,32,21.9025
2007-04-23,C,9,7.65666666666667
2007-04-30,A,51,17.0429411764706
