store,date_of_week,sales,price
STORE1,2010-01-02,1791,2.455616666666667
STORE1,2010-01-09,1865,2.4201883561643838
STORE1,2010-01-16,1486,2.38072695035461
STORE1,2010-01-23,1494,2.4155
STORE1,2010-01-30,1530,2.4683496732026144
STORE1,2010-02-06,1697,2.4828807947019866
STORE1,2010-02-13,1883,2.4834313725490196
STORE1,2010-02-20,1541,2.4119691780821917
STORE1,2010-02-27,1370,2.4114922480620153
STORE1,2010-03-06,1449,2.4049440298507463
STORE1,2010-03-13,1620,2.3999436090225563
STORE1,2010-03-20,1737,2.4285845588235295
STORE1,2010-03-27,1607,2.4524418604651164
STORE1,2010-04-03,1644,2.439233333333333
STORE1,2010-04-10,1991,2.3646283783783786
STORE1,2010-04-17,1800,2.4568959731543623
STORE1,2010-04-24,1801,2.380996732026144
STORE1,2010-05-01,1723,2.430015923566879
STORE1,2010-05-08,2270,2.375907643312102
STORE1,2010-05-15,1872,2.422124183006536
STORE1,2010-05-22,1921,2.3867857142857143
STORE1,2010-05-29,2209,2.414104938271605
STORE1,2010-06-05,2811,2.4113734567901233
STORE1,2010-06-12,1941,2.443983870967742
STORE1,2010-06-19,1854,2.4424668874172184
STORE1,2010-06-26,2064,2.45955
STORE1,2010-07-03,2093,2.409281045751634
STORE1,2010-07-10,3204,2.3610806451612905
STORE1,2010-07-17,2103,2.466824324324324
STORE1,2010-07-24,2140,2.4126960784313725
STORE1,2010-07-31,1951,2.425359477124183
STORE1,2010-08-07,1999,2.430794701986755
STORE1,2010-08-14,2088,2.4076986754966887
STORE1,2010-08-21,2278,2.37527027027027
STORE1,2010-08-28,2063,2.4031724137931034
STORE1,2010-09-04,1657,2.367448630136986
STORE1,2010-09-11,2331,2.4336146496815285
STORE1,2010-09-18,1642,2.4436850649350648
STORE1,2010-09-25,1652,2.366097972972973
STORE1,2010-10-02,1646,2.434098639455782
STORE1,2010-10-09,1554,2.4103819444444445
STORE1,2010-10-16,1729,2.4355
STORE1,2010-10-23,1710,2.4328333333333334
STORE1,2010-10-30,1520,2.4451307189542484
STORE1,2010-11-06,1569,2.4065239726027396
STORE1,2010-11-13,1452,2.3837919463087247
STORE1,2010-11-20,1657,2.4069551282051282
STORE1,2010-11-27,1817,2.361299342105263
STORE1,2010-12-04,1542,2.3748993288590605
STORE1,2010-12-11,1343,2.415612244897959
STORE1,2010-12-18,1498,2.344478417266187
STORE1,2010-12-25,1645,2.4544047619047618
STORE2,2010-01-02,2214,3.1492307692307695
STORE2,2010-01-09,1168,3.1824013157894737
STORE2,2010-01-16,1149,3.18711038961039
STORE2,2010-01-23,1082,3.1185
STORE2,2010-01-30,1350,3.1776666666666666
STORE2,2010-02-06,1141,3.0233227848101265
STORE2,2010-02-13,1401,3.1230864197530863
STORE2,2010-02-20,1513,3.0817283950617282
