MondayOfWeek,Brand,Qty,Price
8/28/2006,B,54,17.7862963
8/28/2006,C,11,11.08090909
9/4/2006,A,41,18.80707317
9/4/2006,B,49,19.18387755
9/4/2006,C,9,9.434444444
9/11/2006,A,53,16.34886792
9/11/2006,B,51,21.88215686
9/11/2006,C,9,11.10111111
9/18/2006,A,59,14.02474576
9/18/2006,B,54,21.49
9/18/2006,C,9,9.767777778
9/25/2006,A,49,16.7144898
9/25/2006,B,35,22.06142857
9/25/2006,C,4,8.49
10/2/2006,A,48,15.13583333
10/2/2006,B,42,18.77571429
10/2/2006,C,9,10.43444444
10/9/2006,A,51,16.2645098
10/9/2006,B,44,19.27409091
10/9/2006,C,13,7.220769231
10/16/2006,A,38,18.92421053
10/16/2006,B,37,19.67918919
10/16/2006,C,21,8.18047619
10/23/2006,A,47,16.99021277
10/23/2006,B,36,22.83722222
10/23/2006,C,20,7.44
10/30/2006,A,52,18.16326923
10/30/2006,B,44,19.37636364
10/30/2006,C,11,10.80818182
11/6/2006,A,48,19.49041667
11/6/2006,B,43,20.61790698
11/6/2006,C,13,10.37461538
11/13/2006,A,48,16.355
11/13/2006,B,39,22.15666667
11/13/2006,C,9,10.21222222
11/20/2006,A,52,15.82653846
11/20/2006,B,32,21.64625
11/20/2006,C,13,9.451538462
11/27/2006,A,56,18.535
11/27/2006,B,35,21.79
11/27/2006,C,5,9.59
12/4/2006,A,80,15.760625
12/4/2006,B,37,20.80081081
12/4/2006,C,12,6.99
12/11/2006,A,48,17.91020833
12/11/2006,B,35,20.93285714
12/11/2006,C,14,9.275714286
12/18/2006,A,36,19.22611111
12/18/2006,B,43,19.69930233
12/18/2006,C,6,9.828333333
12/25/2006,A,41,18.34243902
12/25/2006,B,31,21.11903226
12/25/2006,C,6,8.991666667
1/1/2007,A,44,19.52409091
1/1/2007,B,42,17.43047619
1/1/2007,C,13,8.99
1/8/2007,A,43,18.13767442
1/8/2007,B,33,18.92939394
1/8/2007,C,11,7.808181818
1/15/2007,A,42,16.01261905
1/15/2007,B,45,20.57888889
