Date,UnitsBrandA,UnitsBrandB,ShareBrandA,ShareBrandB
2/7/14,9350,8285,0.15,0.13
2/14/14,8639,7997,0.14,0.13
2/21/14,8931,7941,0.15,0.13
2/28/14,6314,7870,0.11,0.14
3/7/14,8432,7902,0.12,0.13
3/14/14,8960,7978,0.14,0.13
3/21/14,8379,7990,0.14,0.13
3/28/14,7651,7967,0.13,0.13
4/4/14,9540,7909,0.14,0.13
4/11/14,9516,7897,0.15,0.13
4/18/14,9891,8221,0.16,0.12
4/25/14,12105,8651,0.17,0.13
5/2/14,12335,8599,0.17,0.12
5/9/14,11860,8608,0.17,0.12
5/16/14,11068,8396,0.16,0.13
5/23/14,9851,8141,0.15,0.13
5/30/14,9031,8151,0.17,0.13
6/6/14,9440,8069,0.15,0.13
6/13/14,9365,8307,0.11,0.14
6/20/14,5286,8331,0.09,0.14
6/27/14,7902,8224,0.1,0.14
7/4/14,7777,8358,0.13,0.14
7/11/14,9220,8400,0.15,0.14
7/18/14,9735,8537,0.15,0.13
7/25/14,10206,8503,0.16,0.13
